review_profilename,mean review_overall,median review_overall,count reviews,std review_overall
Bankhead,5.0,5.0,10,0.0
BrewTat,1.0,1.0,6,0.0
BrewedAwakening,5.0,5.0,4,0.0
Brianito,4.5,4.5,4,0.0
BrotherJon,4.0,4.0,6,0.0
Claudehenrysmoot,4.0,4.0,4,0.0
GIG,5.0,5.0,4,0.0
HapWifeHapLife,4.0,4.0,4,0.0
Hoppynanobeer,5.0,5.0,4,0.0
Leon,5.0,5.0,4,0.0
Puzzleman,5.0,5.0,5,0.0
Rehtakul,5.0,5.0,6,0.0
SPman,4.5,4.5,5,0.0
Stinky,4.5,4.5,4,0.0
TairyGreene,4.0,4.0,4,0.0
Wamba,4.5,4.5,5,0.0
aptea110,5.0,5.0,5,0.0
artistsatwork,4.0,4.0,5,0.0
bensamra,5.0,5.0,6,0.0
blackkristos,4.5,4.5,4,0.0
burns1066,4.0,4.0,4,0.0
celldog,4.5,4.5,4,0.0
chrisweingart,4.0,4.0,4,0.0
einmt33,4.5,4.5,5,0.0
esprit,5.0,5.0,7,0.0
funkybuddha,5.0,5.0,4,0.0
gau8a,5.0,5.0,5,0.0
ggoss3,4.0,4.0,4,0.0
jlruthven84,4.0,4.0,4,0.0
jniagar1,4.0,4.0,4,0.0
justinmartz,4.5,4.5,5,0.0
kdorgan12,4.0,4.0,5,0.0
kellypodz,4.0,4.0,4,0.0
liquidlife,5.0,5.0,11,0.0
llikkrad,5.0,5.0,4,0.0
lukymann,4.0,4.0,7,0.0
nadpolice9,4.0,4.0,4,0.0
plasma,4.0,4.0,4,0.0
pompix,4.5,4.5,4,0.0
ram3139,4.0,4.0,4,0.0
samwello,5.0,5.0,4,0.0
scratman,4.0,4.0,4,0.0
sfsean,4.0,4.0,5,0.0
sjstraub,4.0,4.0,6,0.0
skberke,4.0,4.0,5,0.0
stalefish666,4.5,4.5,5,0.0
tacubaya,4.5,4.5,4,0.0
tbmurphy89,4.0,4.0,5,0.0
theIRISHgoat,4.0,4.0,5,0.0
zassenhausen,4.5,4.5,4,0.0
